,high-extension,high-overshoot,medium-extension,medium-overshoot,low,verylow,verylow-overshoot
1885,-0.19418294110941714,-0.19418294110941714,-0.19418294110941714,-0.19418294110941714,-0.19418294110941714,-0.19418294110941714,-0.19418294110941714
1886,-0.18057718180133028,-0.18057718180133028,-0.18057718180133028,-0.18057718180133028,-0.18057718180133028,-0.18057718180133028,-0.18057718180133028
1887,-0.14235956130553307,-0.14235956130553307,-0.14235956130553307,-0.14235956130553307,-0.14235956130553307,-0.14235956130553307,-0.14235956130553307
1888,-0.10634017092869887,-0.10634017092869887,-0.10634017092869887,-0.10634017092869887,-0.10634017092869887,-0.10634017092869887,-0.10634017092869887
1889,-0.06960740393078454,-0.06960740393078454,-0.06960740393078454,-0.06960740393078454,-0.06960740393078454,-0.06960740393078454,-0.06960740393078454
1890,-0.044220481691444734,-0.044220481691444734,-0.044220481691444734,-0.044220481691444734,-0.044220481691444734,-0.044220481691444734,-0.044220481691444734
1891,-0.04342777990766792,-0.04342777990766792,-0.04342777990766792,-0.04342777990766792,-0.04342777990766792,-0.04342777990766792,-0.04342777990766792
1892,-0.055129163987428,-0.055129163987428,-0.055129163987428,-0.055129163987428,-0.055129163987428,-0.055129163987428,-0.055129163987428
1893,-0.06213756910166806,-0.06213756910166806,-0.06213756910166806,-0.06213756910166806,-0.06213756910166806,-0.06213756910166806,-0.06213756910166806
1894,-0.039770858227563634,-0.039770858227563634,-0.039770858227563634,-0.039770858227563634,-0.039770858227563634,-0.039770858227563634,-0.039770858227563634
1895,-0.029471012830153617,-0.029471012830153617,-0.029471012830153617,-0.029471012830153617,-0.029471012830153617,-0.029471012830153617,-0.029471012830153617
1896,-0.015676532632247015,-0.015676532632247015,-0.015676532632247015,-0.015676532632247015,-0.015676532632247015,-0.015676532632247015,-0.015676532632247015
1897,-0.011430009573039196,-0.011430009573039196,-0.011430009573039196,-0.011430009573039196,-0.011430009573039196,-0.011430009573039196,-0.011430009573039196
1898,0.00012563756348119568,0.00012563756348119568,0.00012563756348119568,0.00012563756348119568,0.00012563756348119568,0.00012563756348119568,0.00012563756348119568
1899,0.0012770362598257486,0.0012770362598257486,0.0012770362598257486,0.0012770362598257486,0.0012770362598257486,0.0012770362598257486,0.0012770362598257486
1900,-0.0025421172268997416,-0.0025421172268997416,-0.0025421172268997416,-0.0025421172268997416,-0.0025421172268997416,-0.0025421172268997416,-0.0025421172268997416
1901,-0.006599985604326907,-0.006599985604326907,-0.006599985604326907,-0.006599985604326907,-0.006599985604326907,-0.006599985604326907,-0.006599985604326907
1902,-0.0008246671306306696,-0.0008246671306306696,-0.0008246671306306696,-0.0008246671306306696,-0.0008246671306306696,-0.0008246671306306696,-0.0008246671306306696
1903,-0.02034424671273088,-0.02034424671273088,-0.02034424671273088,-0.02034424671273088,-0.02034424671273088,-0.02034424671273088,-0.02034424671273088
1904,-0.08075189591616441,-0.08075189591616441,-0.08075189591616441,-0.08075189591616441,-0.08075189591616441,-0.08075189591616441,-0.08075189591616441
1905,-0.08500069736795529,-0.08500069736795529,-0.08500069736795529,-0.08500069736795529,-0.08500069736795529,-0.08500069736795529,-0.08500069736795529
1906,-0.05265929809667847,-0.05265929809667847,-0.05265929809667847,-0.05265929809667847,-0.05265929809667847,-0.05265929809667847,-0.05265929809667847
1907,-0.028963256488461906,-0.028963256488461906,-0.028963256488461906,-0.028963256488461906,-0.028963256488461906,-0.028963256488461906,-0.028963256488461906
1908,-0.03552127085796709,-0.03552127085796709,-0.03552127085796709,-0.03552127085796709,-0.03552127085796709,-0.03552127085796709,-0.03552127085796709
